"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","name","condition","race","gender","image","question","expression","answer","correct","behaviorType","behavior","question_type","correct_answers","participant_response","nameGuesses","nameAnswer","behaviorAnswer"
"","","","","","image-keyboard-response","485","2.0.0","1435658","2892","./images/WF-244.jpg","3","","","","","./images/WF-244.jpg","","","","false","negative","","behavior","","","","","2"
"","","","","","html-keyboard-response","486","2.0.0","1436365","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","487","2.0.0","1441019","4653","./images/LF-211.jpg","3","Kiatlyn","face-first","latino","Female","./images/LF-211.jpg","","","","false","","","recall","","","[""Victoria"",""Olivia"",""Kaylee"",""Kiatlyn"",""Lilian""]","4",""
"","","","","","html-keyboard-response","488","2.0.0","1441723","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","489","2.0.0","1443235","1510","./images/LF-211.jpg","3","","","","","./images/LF-211.jpg","","","","false","negative","","behavior","","","","","2"
"","","","","","html-keyboard-response","490","2.0.0","1443942","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","491","2.0.0","1446254","2310","./images/WM-209.jpg","1","Andrew","bio-first","white","Male","./images/WM-209.jpg","","","","false","","","recall","","","[""Connor"",""Andrew"",""Christian"",""Isiaah"",""Noah""]","2",""
"","","","","","html-keyboard-response","492","2.0.0","1446958","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","493","2.0.0","1449269","2309","./images/WM-209.jpg","3","","","","","./images/WM-209.jpg","","","","false","negative","","behavior","","","","","2"
"","","","","","html-keyboard-response","494","2.0.0","1449971","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","495","2.0.0","1468214","18241","./images/LF-247.jpg","4","Lauren","control","latino","Female","./images/LF-247.jpg","","","","true","","","recall","","","[""Hannah"",""Anna"",""Maria"",""Lauren"",""Kaylee""]","4",""
"","","","","","html-keyboard-response","496","2.0.0","1468920","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","497","2.0.0","1470784","1862","./images/LF-247.jpg","3","","","","","./images/LF-247.jpg","","","","false","","","behavior","","","","","4"
"","","","","","html-keyboard-response","498","2.0.0","1471489","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","499","2.0.0","1475293","3803","./images/AF-244.jpg","4","Jasmine","bio-first","asian","Female","./images/AF-244.jpg","","","","false","","","recall","","","[""Jessica"",""Katherine"",""Jasmine"",""Lilian"",""Victoria""]","3",""
"","","","","","html-keyboard-response","500","2.0.0","1475998","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","501","2.0.0","1478383","2383","./images/AF-244.jpg","1","","","","","./images/AF-244.jpg","","","","false","negative","","behavior","","","","","2"
"","","","","","html-keyboard-response","502","2.0.0","1479089","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","503","2.0.0","1482223","3133","./images/AM-229.jpg","4","Evan","bio-first","asian","Male","./images/AM-229.jpg","","","","false","","","recall","","","[""Evan"",""Connor"",""Joseph"",""Joshua"",""Noah""]","1",""
"","","","","","html-keyboard-response","504","2.0.0","1482928","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","505","2.0.0","1485255","2325","./images/AM-229.jpg","3","","","","","./images/AM-229.jpg","","","","false","positive","","behavior","","","","","1"
"","","","","","html-keyboard-response","506","2.0.0","1485961","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","507","2.0.0","1490117","4155","./images/WF-007.jpg","2","Alexandra","control","white","Female","./images/WF-007.jpg","","","","false","","","recall","","","[""Destiny"",""Megan"",""Allison"",""Alexandra"",""Taylor""]","4",""
"","","","","","html-keyboard-response","508","2.0.0","1490819","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","509","2.0.0","1494056","3234","./images/WF-007.jpg","2","","","","","./images/WF-007.jpg","","","","false","","","behavior","","","","","4"
"","","","","","html-keyboard-response","510","2.0.0","1494761","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","511","2.0.0","1498012","3250","./images/WM-009.jpg","4","Jonathan","control","white","Male","./images/WM-009.jpg","","","","false","","","recall","","","[""Robert"",""Jonathan"",""Andrew"",""Christian"",""Alexander""]","2",""
"","","","","","html-keyboard-response","512","2.0.0","1498719","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","513","2.0.0","1501134","2414","./images/WM-009.jpg","3","","","","","./images/WM-009.jpg","","","","false","","","behavior","","","","","4"
"","","","","","html-keyboard-response","514","2.0.0","1501841","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","515","2.0.0","1504585","2743","./images/LF-212.jpg","4","Olivia","face-first","latino","Female","./images/LF-212.jpg","","","","true","","","recall","","","[""Kaylee"",""Kiatlyn"",""Stephanie"",""Olivia"",""Maria""]","4",""
"","","","","","html-keyboard-response","516","2.0.0","1505289","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","517","2.0.0","1509021","3730","./images/LF-212.jpg","3","","","","","./images/LF-212.jpg","","","","false","positive","","behavior","","","","","1"
"","","","","","html-keyboard-response","518","2.0.0","1509726","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","519","2.0.0","1514929","5201","./images/LM-223.jpg","4","Nicholas","face-first","latino","Male","./images/LM-223.jpg","","","","false","","","recall","","","[""Hunter"",""Jose"",""Nicholas"",""Nathan"",""David""]","3",""
"","","","","","html-keyboard-response","520","2.0.0","1515634","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","521","2.0.0","1518598","2962","./images/LM-223.jpg","1","","","","","./images/LM-223.jpg","","","","true","positive","","behavior","","","","","1"
"","","","","","html-keyboard-response","522","2.0.0","1519303","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","523","2.0.0","1522845","3540","./images/LM-208.jpg","5","Tyler","bio-first","latino","Male","./images/LM-208.jpg","","","","false","","","recall","","","[""Jose"",""Hunter"",""Tyler"",""Noah"",""James""]","3",""
"","","","","","html-keyboard-response","524","2.0.0","1523550","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","525","2.0.0","1525616","2065","./images/LM-208.jpg","4","","","","","./images/LM-208.jpg","","","","false","negative","","behavior","","","","","2"
