"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","name","condition","race","gender","behaviorType","image","behavior","question","expression","answer","correct","question_type","correct_answers","participant_response","nameGuesses","nameAnswer","behaviorAnswer"
"","","","","","image-keyboard-response","435","2.0.0","1324320","1071","./images/AF-219.jpg","6","","","","","","./images/AF-219.jpg","","","","","true","recognition","[""4"",""5"",""6""]","6","","",""
"","","","","","html-keyboard-response","436","2.0.0","1329856","5536","<p>Now, you will take the second part of the memory test.<p/>
          <p>Please wait for the experimenter instructions.<p/>
          <p>When prompted, press ""1"" to begin the second memory test.<p/>","1","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","437","2.0.0","1330558","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","438","2.0.0","1334882","4323","./images/AF-219.jpg","3","Julia","bio-first","asian","Female","","./images/AF-219.jpg","","","","","false","recall","","","[""Julia"",""Rachel"",""Lilian"",""Nicole"",""Ava""]","1",""
"","","","","","html-keyboard-response","439","2.0.0","1335585","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","440","2.0.0","1344860","9273","./images/AF-219.jpg","3","","","","","positive","./images/AF-219.jpg","","","","","false","behavior","","","","","1"
"","","","","","html-keyboard-response","441","2.0.0","1345561","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","442","2.0.0","1353083","7521","./images/LM-231.jpg","4","Jose","face-first","latino","Male","","./images/LM-231.jpg","","","","","false","recall","","","[""Jose"",""Luke"",""Evan"",""Isaiah"",""Angel""]","1",""
"","","","","","html-keyboard-response","443","2.0.0","1353786","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","444","2.0.0","1357352","3565","./images/LM-231.jpg","1","","","","","negative","./images/LM-231.jpg","","","","","false","behavior","","","","","2"
"","","","","","html-keyboard-response","445","2.0.0","1358055","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","446","2.0.0","1363503","5447","./images/LF-209.jpg","2","Maria","face-first","latino","Female","","./images/LF-209.jpg","","","","","false","recall","","","[""Ava"",""Brianna"",""Maria"",""Mia"",""Abigail""]","3",""
"","","","","","html-keyboard-response","447","2.0.0","1364206","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","448","2.0.0","1366051","1844","./images/LF-209.jpg","3","","","","","positive","./images/LF-209.jpg","","","","","false","behavior","","","","","1"
"","","","","","html-keyboard-response","449","2.0.0","1366753","null","What's their name?","null","","","","","","","","","","","","","","","","",""
